application_id,job_title,company_name,location,employment_type,years_experience,remote_flag,skills_match_ratio,application_channel,day_of_week_applied,responded_within_7d
36,Software Engineer,DataBridge Inc,Remote,full_time,9,1,0.301,vendor,6,0
577,Cloud Engineer,Apex Neural,Minneapolis MN,full_time,1,1,0.7134,company_site,5,1
1514,Senior AI Engineer,Nexus Data,Remote,full_time,2,1,0.3169,referral,6,1
9738,Platform Engineer,Helios Cloud,Dallas TX,full_time,3,0,0.2705,LI,4,0
40,AI Product Engineer,CoreLogic AI,Remote,full_time,6,0,0.2146,,2,0
6875,Full Stack Engineer,Synthetix Labs,Raleigh NC,full_time,4,1,0.1373,vendor,8,0
3860,Data Engineer,Synthetix Labs,Los Angeles CA,full_time,1,0,0.5675,vendor,2,1
2341,AI Research Scientist,Infinex Analytics,Atlanta GA,contract,2,1,0.3243,vendor,5,0
7996,Backend Developer,Vertex Dynamics,Boston MA,contract,4,1,0.1486,vendor,8,0
4846,Senior AI Engineer,BlueSky Tech,Charlotte NC,full_time,7,1,0.1952,vendor,1,0
6773,LLM Engineer,Helios Cloud,Boston MA,full_time,3,0,0.3742,company_site,2,0
4574,AI Product Engineer,Meridian Labs,Remote,full_time,2,1,0.365,LI,2,0
4422,Senior AI Engineer,Meridian Labs,New York NY,contract,6,0,,linkedin,0,0
2338,Backend Developer,Vertex Dynamics,Nashville TN,full_time,9,0,0.1519,linkedin,0,0
488,Platform Engineer,Polaris Systems,New York NY,c2c,6,0,0.315,referral,3,0
1442,ML Engineer,Vertex Dynamics,Denver CO,internship,,,0.1069,linkedin,6,0
8761,Platform Engineer,Prism Data,Chicago IL,full_time,0,0,0.2319,linkedin,4,0
5724,ML Engineer,PinnacleAI,Miami FL,full_time,9,0,0.1996,other,1,0
9964,AI Product Engineer,CoreLogic AI,Remote,full_time,3,1,0.213,other,2,1
6418,Frontend Developer,BlueSky Tech,Austin TX,internship,,1,0.2804,other,3,1
7502,Data Scientist,Orion Systems,Portland OR,contract,2,1,0.0627,linkedin,4,0
3496,MLOps Engineer,NovaTech AI,Denver CO,contract,8,0,0.1526,company_site,0,0
2276,Frontend Developer,PinnacleAI,Seattle WA,full_time,10,0,0.1718,linkedin,0,0
7866,Senior AI Engineer,BlueSky Tech,Austin TX,contract,0,1,-0.1,LINKEDIN,3,1
2475,MLOps Engineer,TrueLayer AI,Boston MA,full_time,5,0,0.2706,linkedin,6,0
4939,Data Engineer,Meridian Labs,Dallas TX,full_time,6,1,0.3414,linkedin,4,0
8212,AI Research Scientist,Nexus Data,Atlanta GA,full_time,4,1,,company_site,2,0
7949,Platform Engineer,NovaTech AI,Minneapolis MN,full_time,2,0,0.1905,referral,0,0
5654,Platform Engineer,Cascade Technologies,Charlotte NC,full_time,9,1,0.1891,vendor,1,0
8241,LLM Engineer,NovaTech AI,Remote,full_time,0,1,0.1619,Vendor,1,0
6951,Data Scientist,CloudNine Systems,Charlotte NC,full_time,5,0,0.359,company_site,3,0
9424,ML Engineer,Orion Systems,Dallas TX,contract,1,1,0.62,other,2,0
2474,Cloud Engineer,CloudNine Systems,Portland OR,full_time,6,1,0.6525,Vendor,4,1
3338,LLM Engineer,PinnacleAI,Boston MA,full_time,1,,0.2286,linkedin,5,0
1661,Platform Engineer,Orion Systems,Chicago IL,full_time,4,0,0.1167,vendor,3,1
4054,Backend Developer,PinnacleAI,Los Angeles CA,full_time,11,1,0.2378,other,6,1
1742,Software Engineer,BlueSky Tech,Minneapolis MN,full_time,5,1,0.4232,Other,0,0
5007,LLM Engineer,Prism Data,Remote,contract,9,1,0.1852,company_site,2,0
800,AI Product Engineer,CoreLogic AI,Nashville TN,contract,5,1,,company_site,,1
3058,GenAI Engineer,Stratus AI,Charlotte NC,internship,3,0,0.2859,linkedin,6,0
9940,Data Engineer,Luminary AI,San Francisco CA,full_time,,1,0.4824,vendor,4,0
4265,Platform Engineer,Stratus AI,New York NY,internship,5,1,0.5852,referral,5,1
7301,ML Engineer,TrueLayer AI,Austin TX,internship,3,0,0.1787,company_site,4,0
3379,Data Scientist,DataBridge Inc,Raleigh NC,contract,0,0,0.163,company_site,3,0
1409,Full Stack Engineer,Meridian Labs,Dallas TX,full_time,3,0,0.282,linkedin,4,0
1544,AI Product Engineer,Synthetix Labs,New York NY,contract,,0,0.2954,linkedin,4,0
4871,Full Stack Engineer,CloudNine Systems,Miami FL,c2c,7,1,0.2267,vendor,6,
4526,ML Engineer,Apex Neural,Remote,contract,5,1,0.4123,linkedin,6,0
625,Frontend Developer,CoreLogic AI,Miami FL,c2c,1,1,0.3492,Referral,6,1
108,Data Engineer,Synthetix Labs,New York NY,c2c,5,1,0.2395,linkedin,5,0
8521,GenAI Engineer,Nexus Data,Denver CO,full_time,7,,0.0519,company_site,6,0
3786,Data Scientist,NovaTech AI,Portland OR,internship,1,1,0.5234,,0,0
2302,Backend Developer,Helios Cloud,Atlanta GA,full_time,12,0,0.11,vendor,1,0
7854,GenAI Engineer,Helios Cloud,Nashville TN,full_time,5,1,0.5087,linkedin,6,0
3919,Software Engineer,Quantum Drift,Charlotte NC,c2c,3,0,0.3071,other,2,0
1766,Senior AI Engineer,Cascade Technologies,Denver CO,full_time,6,1,0.8229,referral,4,0
1924,GenAI Engineer,Helios Cloud,New York NY,full_time,-2,1,0.6088,vendor,1,
2909,Cloud Engineer,Cascade Technologies,Chicago IL,contract,3,0,0.2553,company_site,5,1
1863,LLM Engineer,Quantum Drift,Boston MA,full_time,6,1,0.588,LI,4,0
519,Senior AI Engineer,Stratus AI,Charlotte NC,full_time,0,0,0.3062,other,2,0
9015,Software Engineer,Echo AI,Denver CO,full_time,7,3,0.6223,companysite,4,0
9844,Software Engineer,PinnacleAI,Atlanta GA,full_time,0,1,0.6621,company_site,4,0
9712,Full Stack Engineer,Vertex Dynamics,Chicago IL,contract,4,1,0.199,referral,4,0
7471,GenAI Engineer,Helios Cloud,Austin TX,contract,0,1,0.6979,vendor,1,1
1454,Cloud Engineer,Luminary AI,Remote,full_time,4,0,0.1303,,0,0
9603,Full Stack Engineer,PinnacleAI,San Francisco CA,full_time,4,1,0.5451,linkedin,6,0
6177,Data Engineer,Polaris Systems,Phoenix AZ,full_time,4,1,0.0737,vendor,4,0
7244,Full Stack Engineer,BlueSky Tech,Portland OR,full_time,6,1,0.2337,referral,0,1
583,AI Product Engineer,Vertex Dynamics,Remote,contract,0,1,0.2842,linkedin,6,0
6825,Data Scientist,Luminary AI,Remote,full_time,2,0,0.1553,vendor,2,2
4293,Platform Engineer,Orion Systems,Los Angeles CA,full_time,7,0,0.5944,referral,1,1
5607,Cloud Engineer,Cascade Technologies,Austin TX,contract,6,0,0.4837,company_site ,,0
7710,MLOps Engineer,Cascade Technologies,Chicago IL,c2c,5,1,0.4603,referral,5,0
1225,Platform Engineer,NovaTech AI,Remote,full_time,6,0,0.3375,referral,4,1
7370,Data Engineer,Quantum Drift,Seattle WA,contract,1,0,0.0788,linkedin,3,0
9609,Cloud Engineer,TrueLayer AI,Minneapolis MN,contract,6,1,0.3431,linkedin,1,0
2856,Full Stack Engineer,Vertex Dynamics,Nashville TN,full_time,0,0,0.4392,linkedin,5,1
7117,AI Product Engineer,Polaris Systems,Los Angeles CA,full_time,2,1,0.3904,company_site,3,0
4185,LLM Engineer,Vertex Dynamics,Phoenix AZ,full_time,3,0,0.5661,company_site,3,0
5229,Data Scientist,Infinex Analytics,Charlotte NC,full_time,4,yes,0.1484,vendor,4,0
7143,Senior AI Engineer,NovaTech AI,Minneapolis MN,full_time,1,1,0.3435,company_site,2,0
5471,Backend Developer,Vertex Dynamics,Atlanta GA,c2c,,0,0.2687,linkedin,4,0
6707,Cloud Engineer,ZenithSoft,Miami FL,full_time,5,1,0.2077,referral,8,0
9290,Data Engineer,Helios Cloud,New York NY,full_time,3,0,0.391,referral,2,0
7771,Frontend Developer,CoreLogic AI,Boston MA,contract,1,1,0.3121,company_site,5,0
8355,AI Product Engineer,Polaris Systems,San Francisco CA,c2c,8,0,0.5159,referral,0,1
4964,Data Engineer,Nexus Data,Los Angeles CA,contract,2,1,0.6067,company_site,0,0
97,Data Engineer,Luminary AI,Seattle WA,contract,0,no,0.4749,linkedin,4,0
5925,AI Product Engineer,PinnacleAI,Portland OR,full_time,10,1,,referral,6,0
2305,GenAI Engineer,Synthetix Labs,Boston MA,full_time,0,0,0.2455,vendor,5,0
7839,MLOps Engineer,Meridian Labs,Remote,full_time,3,0,0.2212,companysite,0,1
120,Frontend Developer,Cascade Technologies,San Francisco CA,contract,5,1,0.6796,referral,0,1
5720,Cloud Engineer,Nexus Data,Denver CO,full_time,,0,0.3897,linkedin,4,0
5805,Software Engineer,Cascade Technologies,Nashville TN,contract,2,1,0.2939,,2,0
34,Data Engineer,Luminary AI,Atlanta GA,full_time,6,0,0.3011,Other,0,
8529,ML Engineer,CoreLogic AI,Minneapolis MN,c2c,8,0,0.3204,company_site,4,0
5322,Data Scientist,Vortex ML,Austin TX,contract,3,,0.2971,linkedin,4,0
1887,GenAI Engineer,DataBridge Inc,Miami FL,contract,6,no,0.3083,linkedin,2,0
8678,MLOps Engineer,Prism Data,Raleigh NC,full_time,5,0,0.4009,referral,4,1
7095,Data Scientist,Infinex Analytics,Remote,internship,0,,0.128,vendor,3,0
4672,Full Stack Engineer,Cascade Technologies,Chicago IL,full_time,3,0,0.5031,linkedin,4,2
1146,LLM Engineer,PinnacleAI,Austin TX,full_time,-2,1,0.2907,other,2,0
9691,Platform Engineer,ZenithSoft,Remote,full_time,8,0,0.3256,linkedin,2,0
6129,Frontend Developer,Orion Systems,Denver CO,full_time,7,0,0.6897,referral,1,1
3033,GenAI Engineer,Nexus Data,Austin TX,full_time,2,0,0.6614,company_site,-1,0
9260,Software Engineer,Helios Cloud,New York NY,contract,6,1,0.7242,LI,5,1
1122,Platform Engineer,CoreLogic AI,Raleigh NC,c2c,8,0,0.351,company_site,5,0
9564,Backend Developer,Quantum Drift,Chicago IL,full_time,0,0,0.2071,vendor,4,0
32,Cloud Engineer,Nexus Data,Minneapolis MN,full_time,3,0,0.1546,company_site,5,0
5695,Data Scientist,Luminary AI,Minneapolis MN,full_time,5,0,0.1805,referral,5,0
5293,Platform Engineer,Vortex ML,Miami FL,full_time,2,0,0.2543,vendor,4,0
30,Full Stack Engineer,CoreLogic AI,Los Angeles CA,c2c,9,1,,company_site,0,0
7742,Backend Developer,Helios Cloud,Remote,c2c,3,0,0.2594,company_site,1,0
762,AI Product Engineer,BlueSky Tech,Dallas TX,full_time,1,0,0.5636,vendor,3,0
3980,Cloud Engineer,Orion Systems,Seattle WA,full_time,10,1,0.178,vendor,4,1
2454,Platform Engineer,CloudNine Systems,Portland OR,full_time,6,0,0.2225,linkedin,1,0
107,AI Product Engineer,Nexus Data,Denver CO,full_time,0,1,0.2256,company_site,5,0
3028,Cloud Engineer,CoreLogic AI,Austin TX,c2c,5,1,0.4005,referral,0,0
7380,Data Engineer,NovaTech AI,Seattle WA,contract,6,1,0.4621,company_site,0,0
2610,Data Engineer,Orion Systems,Portland OR,c2c,2,1,0.2792,linkedin,0,0
7136,Full Stack Engineer,Synthetix Labs,Dallas TX,contract,6,0,0.117,company_site,3,0
4343,AI Research Scientist,Infinex Analytics,Minneapolis MN,full_time,6,0,,Linkedin ,,0
736,Senior AI Engineer,Orion Systems,Atlanta GA,full_time,4,1,0.1014,linkedin,0,0
6740,Frontend Developer,CloudNine Systems,Portland OR,full_time,2,1,0.4632,linkedin,5,1
7451,Data Scientist,BlueSky Tech,Portland OR,full_time,7,1,0.3514,company_site,1,1
4817,Cloud Engineer,BlueSky Tech,Seattle WA,contract,5,0,0.1132,vendor,3,1
8995,Platform Engineer,TrueLayer AI,Portland OR,full_time,0,0,0.275,Other,6,0
5227,Full Stack Engineer,Synthetix Labs,Chicago IL,contract,4,1,0.5744,vendor,6,1
4338,Senior AI Engineer,Nexus Data,Boston MA,full_time,7,0,0.0743,vendor,2,
4853,AI Research Scientist,Apex Neural,Boston MA,contract,6,1,0.1258,linkedin,6,0
6401,Data Scientist,Infinex Analytics,Miami FL,full_time,0,yes,0.2157,linkedin,5,0
1079,Platform Engineer,CloudNine Systems,Remote,contract,1,0,0.2884,referral,3,1
1340,Frontend Developer,CoreLogic AI,Boston MA,internship,4,1,0.4649,referral,5,1
2639,ML Engineer,NovaTech AI,Dallas TX,c2c,4,1,0.2371,company_site,0,0
9202,AI Product Engineer,CoreLogic AI,Phoenix AZ,internship,4,1,0.117,linkedin,0,0
5457,MLOps Engineer,Synthetix Labs,Remote,full_time,1,1,0.0527,referral,-1,0
3258,GenAI Engineer,Cascade Technologies,Remote,contract,5,1,0.3798,other,5,0
9461,ML Engineer,Meridian Labs,Phoenix AZ,full_time,,0,0.4612,linkedin,3,0
5763,Senior AI Engineer,DataBridge Inc,Atlanta GA,contract,7,0,0.5392,linkedin,5,0
2237,GenAI Engineer,Infinex Analytics,Minneapolis MN,contract,,0,0.2948,referral,0,0
933,Data Engineer,Vertex Dynamics,Remote,contract,5,1,,company_site,2,
9993,GenAI Engineer,Orion Systems,Charlotte NC,full_time,3,0,0.4194,referral,2,0
3413,LLM Engineer,Nexus Data,Raleigh NC,full_time,9,0,0.1763,company_site,4,1
5666,Data Engineer,Helios Cloud,Minneapolis MN,full_time,0,1,0.0715,vendor,1,0
7952,Cloud Engineer,Meridian Labs,New York NY,full_time,,0,0.5283,other,1,0
252,AI Product Engineer,Helios Cloud,San Francisco CA,contract,7,0,0.3753,company_site,0,0
484,LLM Engineer,Cascade Technologies,Remote,full_time,5,0,0.5935,other,4,
8257,Senior AI Engineer,Echo AI,Nashville TN,full_time,5,1,0.5004,linkedin,6,1
5107,AI Research Scientist,Cascade Technologies,Remote,full_time,0,0,0.0939,company_site,0,0
7140,Cloud Engineer,CloudNine Systems,Nashville TN,contract,5,0,0.1809,linkedin,5,0
7657,Software Engineer,CloudNine Systems,Remote,full_time,3,0,-0.1,company_site,4,0
8217,Cloud Engineer,Vertex Dynamics,Boston MA,full_time,5,0,0.447,referral,3,0
3060,LLM Engineer,PinnacleAI,Remote,contract,0,0,0.2903,linkedin,4,0
7432,Cloud Engineer,Helios Cloud,Nashville TN,c2c,6,1,0.0835,vendor,2,0
5938,Software Engineer,Cascade Technologies,Los Angeles CA,full_time,5,1,0.3697,linkedin,3,0
2681,LLM Engineer,Infinex Analytics,San Francisco CA,full_time,0,0,0.1186,company_site,4,1
4774,Platform Engineer,NovaTech AI,Chicago IL,c2c,7,0,0.1282,linkedin,4,0
6536,Data Scientist,DataBridge Inc,Miami FL,full_time,5,1,0.1634,linkedin,1,0
6240,Full Stack Engineer,NovaTech AI,Dallas TX,full_time,4,1,0.4933,vendor,6,0
1113,ML Engineer,Quantum Drift,Chicago IL,contract,5,1,0.2188,vendor,0,1
8460,LLM Engineer,ZenithSoft,Los Angeles CA,contract,3,0,0.2978,vendor,6,0
5337,Cloud Engineer,Stratus AI,Minneapolis MN,c2c,4,1,0.3513,company_site,3,
7227,Platform Engineer,NovaTech AI,Charlotte NC,contract,3,1,0.5025,other,1,0
6926,Data Engineer,Vertex Dynamics,Remote,c2c,2,1,0.0637,vendor,5,0
8084,ML Engineer,Quantum Drift,Phoenix AZ,contract,,1,0.1522,vendor,3,0
5928,Full Stack Engineer,Infinex Analytics,New York NY,full_time,4,1,0.3431,other,2,0
260,AI Product Engineer,Meridian Labs,Denver CO,contract,10,0,0.1445,linkedin,3,0
4124,Backend Developer,Polaris Systems,New York NY,internship,1,0,0.384,vendor,2,0
6735,Data Engineer,BlueSky Tech,Boston MA,full_time,5,0,0.171,company_site,6,0
8104,Frontend Developer,PinnacleAI,Nashville TN,full_time,4,1,0.1535,other,0,0
2222,MLOps Engineer,Orion Systems,Dallas TX,c2c,6,0,0.508,linkedin,2,0
8150,LLM Engineer,Infinex Analytics,Atlanta GA,internship,8,,0.4923,linkedin,5,0
9912,Platform Engineer,DataBridge Inc,Atlanta GA,full_time,3,0,0.4766,linkedin,5,0
6991,ML Engineer,Infinex Analytics,Phoenix AZ,contract,7,1,0.1965,vendor,3,0
7986,AI Research Scientist,PinnacleAI,Phoenix AZ,full_time,5,1,0.1426,linkedin,4,0
9100,Frontend Developer,Prism Data,New York NY,full_time,7,0,0.2756,company_site,4,0
5610,MLOps Engineer,Quantum Drift,Minneapolis MN,full_time,9,0,0.3466,company_site,1,0
6481,Cloud Engineer,Prism Data,Charlotte NC,full_time,4,,0.4566,vendor,5,0
8100,Data Engineer,Vortex ML,Portland OR,full_time,1,1,0.2457,other,2,0
669,Backend Developer,Helios Cloud,Denver CO,c2c,6,0,0.6417,vendor,5,1
2349,Cloud Engineer,ZenithSoft,Atlanta GA,full_time,11,0,0.0905,vendor,1,0
2484,Backend Developer,Stratus AI,Charlotte NC,full_time,2,0,0.6884,linkedin,5,1
1419,Frontend Developer,Nexus Data,Dallas TX,contract,3,1,0.4946,referral,1,1
4082,Platform Engineer,Quantum Drift,Seattle WA,full_time,6,1,0.2861,Linkedin ,2,0
4915,LLM Engineer,Luminary AI,Phoenix AZ,full_time,9,1,0.6515,referral,0,
7835,ML Engineer,Meridian Labs,Dallas TX,full_time,0,0,0.1744,company_site,2,0
2345,MLOps Engineer,Luminary AI,Miami FL,c2c,5,1,0.3288,other,4,0
3942,Frontend Developer,Orion Systems,Charlotte NC,contract,3,1,0.3299,referral,1,0
6751,AI Product Engineer,Helios Cloud,Remote,c2c,1,1,0.2395,companysite,5,0
7404,Cloud Engineer,Cascade Technologies,Seattle WA,full_time,2,1,0.2039,linkedin,1,1
4059,Data Engineer,Vortex ML,Remote,contract,7,1,0.3214,company_site,4,0
5273,Senior AI Engineer,BlueSky Tech,Boston MA,contract,2,1,0.4427,linkedin,5,0
2320,GenAI Engineer,DataBridge Inc,Miami FL,c2c,4,0,0.6415,linkedin,4,0
6496,Data Scientist,Nexus Data,Dallas TX,contract,4,0,0.3591,linkedin,6,1
8698,Platform Engineer,Apex Neural,Dallas TX,full_time,9,1,0.3939,vendor,0,0
5427,Software Engineer,Quantum Drift,Seattle WA,contract,7,1,0.1325,company_site,6,0
1624,Platform Engineer,Polaris Systems,Austin TX,full_time,7,0,0.2548,linkedin,1,0
1627,ML Engineer,Orion Systems,Portland OR,contract,3,1,0.5452,company_site,6,0
7935,AI Product Engineer,Apex Neural,Phoenix AZ,full_time,1,1,0.6205,company_site,2,0
9547,Senior AI Engineer,Meridian Labs,Seattle WA,contract,1,0,0.3748,vendor ,3,0
93,Software Engineer,Synthetix Labs,Miami FL,contract,8,0,0.3443,linkedin,6,0
7519,AI Research Scientist,Apex Neural,Seattle WA,full_time,5,0,0.1633,referral,3,0
7961,AI Product Engineer,Stratus AI,Dallas TX,full_time,7,1,0.0862,company_site,1,0
3149,AI Research Scientist,Orion Systems,Miami FL,full_time,3,0,0.5722,other,0,0
2518,GenAI Engineer,Synthetix Labs,Los Angeles CA,c2c,9,0,0.4931,vendor,1,0
4769,Full Stack Engineer,DataBridge Inc,Chicago IL,c2c,0,1,0.6054,linkedin,0,1
1384,Data Scientist,ZenithSoft,New York NY,full_time,0,0,0.3711,referral,6,0
9127,AI Product Engineer,PinnacleAI,Phoenix AZ,full_time,9,1,0.3351,linkedin,6,0
6716,AI Research Scientist,BlueSky Tech,San Francisco CA,c2c,4,1,0.4668,company_site,4,0
1157,AI Research Scientist,DataBridge Inc,Seattle WA,contract,3,0,0.5981,company_site,0,0
3636,Platform Engineer,Echo AI,Austin TX,contract,3,0,0.3247,,4,0
5420,GenAI Engineer,Helios Cloud,Atlanta GA,full_time,1,1,0.4556,vendor,3,0
312,Platform Engineer,Orion Systems,Nashville TN,full_time,3,0,0.1138,vendor ,0,0
8185,Frontend Developer,Luminary AI,Minneapolis MN,contract,2,1,0.2287,company_site,0,0
1747,LLM Engineer,BlueSky Tech,Seattle WA,c2c,7,1,0.2891,vendor ,6,0
9607,Software Engineer,ZenithSoft,Phoenix AZ,full_time,6,0,0.5662,company_site,5,1
4609,Data Engineer,Orion Systems,Boston MA,full_time,7,,0.2209,company_site,6,0
6640,Data Engineer,PinnacleAI,Portland OR,contract,5,0,0.1208,referral,0,0
7969,Cloud Engineer,Vertex Dynamics,Seattle WA,full_time,0,1,0.4176,referral,2,0
7763,AI Product Engineer,NovaTech AI,Remote,contract,3,1,0.2066,Referral,5,0
6756,Data Engineer,Quantum Drift,Remote,c2c,2,1,0.1958,company_site,6,0
1473,Software Engineer,NovaTech AI,Austin TX,contract,4,0,0.3982,vendor,5,0
305,Platform Engineer,Vortex ML,Portland OR,full_time,2,0,0.7753,vendor,,1
9957,Software Engineer,Apex Neural,Raleigh NC,full_time,8,0,0.5131,company_site,1,0
322,Software Engineer,Synthetix Labs,Miami FL,internship,6,0,0.3287,referral,2,0
4529,Software Engineer,Infinex Analytics,Remote,full_time,99,1,0.2517,linkedin,5,0
9521,MLOps Engineer,Orion Systems,Raleigh NC,c2c,2,1,0.4112,other,1,0
6933,MLOps Engineer,Luminary AI,New York NY,contract,10,,0.2594,company_site,5,0
1796,Platform Engineer,Polaris Systems,Minneapolis MN,contract,5,1,0.2047,linkedin,1,0
89,Data Engineer,Meridian Labs,Charlotte NC,internship,8,0,0.1987,company_site,6,0
4891,AI Product Engineer,Helios Cloud,Miami FL,full_time,2,0,0.2702,linkedin,,0
2363,AI Product Engineer,PinnacleAI,Nashville TN,full_time,4,0,0.1723,company_site,5,1
8249,Backend Developer,DataBridge Inc,New York NY,internship,0,0,0.2369,Linkedin ,4,0
3545,Senior AI Engineer,BlueSky Tech,Atlanta GA,contract,-1,1,0.4624,vendor,2,0
6898,Software Engineer,Vertex Dynamics,Atlanta GA,full_time,1,1,0.3883,referral,1,1
4533,Full Stack Engineer,NovaTech AI,San Francisco CA,full_time,4,1,0.617,referral,3,0
8483,GenAI Engineer,Nexus Data,Remote,contract,8,1,0.4848,linkedin,2,0
2620,ML Engineer,Cascade Technologies,Boston MA,full_time,7,1,0.3216,company_site,3,0
8926,Data Scientist,Apex Neural,Raleigh NC,contract,8,1,0.0706,linkedin,3,0
